x,country,cam,naomi
1, Albania,1,3
2, Algeria,1,5
3, Armenia,1,5
4, Austria,3,1
5, Azerbaijan,1,2
6, Bahrain,1,2
7, Bangladesh,2,6
8, Belarus,1,1
9, Belgium,5,1
10, Bosnia And Herzegovina,1,1
11, Bulgaria,1,1
12, Cambodia,5,6
13, China,7,2
14, Croatia,1,2
15, Cyprus,3,4
16, Czech Republic,1,1
17, Denmark,7,1
18, Egypt,6,7
19, Estonia,1,1
20, Finland,6,1
21, France,5,6
22, Georgia,1,1
23, Germany,7,2
24, Greece,5,5
25, Hong Kong,7,5
26, Hungary,1,1
27, Iceland,5,3
28, India,6,7
29, Indonesia,7,5
30, Iran,1,6
31, Iraq,1,6
32, Ireland,4,1
33, Israel,3,1
34, Italy,4,2
35, Japan,7,1
36, Jordan,1,5
37, Kazakhstan,1,1
38, Kenya,5,7
39, Kosovo (Disputed Territory),1,1
40, Kyrgyzstan,1,1
41, Latvia,1,1
42, Lebanon,1,5
43, Lithuania,1,1
44, Luxembourg,1,1
45, Macedonia,2,1
46, Malaysia,6,7
47, Malta,1,1
48, Moldova,1,1
49, Mongolia,6,3
50, Montenegro,2,1
51, Morocco,5,7
52, Nepal,4,7
53, Netherlands,4,2
54, Nigeria,6,7
55, Norway,7,6
56, Oman,2,6
57, Pakistan,2,7
58, Philippines,5,7
59, Poland,1,1
60, Portugal,2,7
61, Qatar,5,7
62, Romania,2,1
63, Russia,7,3
64, Saudi Arabia,2,7
65, Serbia,1,1
66, Singapore,7,7
67, Slovakia,1,1
68, Slovenia,1,1
69, South Africa,4,7
70, South Korea,7,3
71, Spain,4,7
72, Sri Lanka,1,7
73, Sweden,6,4
74, Switzerland,4,4
75, Taiwan,6,4
76, Thailand,5,7
77, Tunisia,1,7
78, Turkey,3,7
79, Ukraine,1,1
80, United Arab Emirates,4,3
81, United Kingdom,5,1
82, Uzbekistan,1,1
83, Vietnam,5,7
84, Zimbabwe,3,7